timestamp,location,customer_id
2019-09-02 07:03:00,dairy,0_1
2019-09-02 07:03:00,dairy,0_2
2019-09-02 07:04:00,dairy,0_3
2019-09-02 07:04:00,dairy,0_4
2019-09-02 07:04:00,spices,0_5
2019-09-02 07:04:00,spices,0_6
2019-09-02 07:04:00,spices,0_7
2019-09-02 07:04:00,fruit,0_8
2019-09-02 07:05:00,checkout,0_1
2019-09-02 07:05:00,checkout,0_5
2019-09-02 07:05:00,dairy,0_6
2019-09-02 07:05:00,drinks,0_7
2019-09-02 07:06:00,fruit,0_10
2019-09-02 07:06:00,drinks,0_11
2019-09-02 07:06:00,spices,0_12
2019-09-02 07:06:00,dairy,0_13
2019-09-02 07:06:00,fruit,0_14
2019-09-02 07:06:00,checkout,0_2
2019-09-02 07:06:00,checkout,0_3
2019-09-02 07:06:00,dairy,0_9
2019-09-02 07:07:00,drinks,0_12
2019-09-02 07:07:00,spices,0_15
2019-09-02 07:07:00,dairy,0_16
2019-09-02 07:07:00,checkout,0_8
2019-09-02 07:08:00,checkout,0_10
2019-09-02 07:08:00,checkout,0_11
2019-09-02 07:08:00,fruit,0_15
2019-09-02 07:08:00,checkout,0_4
2019-09-02 07:09:00,checkout,0_14
2019-09-02 07:09:00,spices,0_16
2019-09-02 07:09:00,spices,0_7
2019-09-02 07:10:00,checkout,0_12
2019-09-02 07:11:00,checkout,0_16
2019-09-02 07:11:00,fruit,0_17
2019-09-02 07:11:00,fruit,0_7
2019-09-02 07:12:00,checkout,0_15
2019-09-02 07:12:00,fruit,0_18
2019-09-02 07:12:00,spices,0_19
2019-09-02 07:12:00,drinks,0_20
2019-09-02 07:12:00,fruit,0_9
2019-09-02 07:13:00,spices,0_13
2019-09-02 07:13:00,drinks,0_19
2019-09-02 07:13:00,drinks,0_21
2019-09-02 07:13:00,fruit,0_22
2019-09-02 07:13:00,checkout,0_7
2019-09-02 07:13:00,checkout,0_9
2019-09-02 07:14:00,dairy,0_13
2019-09-02 07:14:00,dairy,0_18
2019-09-02 07:14:00,checkout,0_20
2019-09-02 07:14:00,fruit,0_23
2019-09-02 07:14:00,drinks,0_24
2019-09-02 07:15:00,fruit,0_13
2019-09-02 07:15:00,spices,0_21
2019-09-02 07:15:00,dairy,0_22
2019-09-02 07:15:00,checkout,0_23
2019-09-02 07:16:00,checkout,0_13
2019-09-02 07:16:00,checkout,0_21
2019-09-02 07:16:00,spices,0_25
2019-09-02 07:16:00,fruit,0_26
2019-09-02 07:16:00,spices,0_27
2019-09-02 07:16:00,drinks,0_28
2019-09-02 07:16:00,drinks,0_29
2019-09-02 07:17:00,checkout,0_18
2019-09-02 07:17:00,checkout,0_22
2019-09-02 07:17:00,dairy,0_25
2019-09-02 07:17:00,spices,0_30
2019-09-02 07:17:00,spices,0_31
2019-09-02 07:17:00,drinks,0_32
2019-09-02 07:17:00,fruit,0_33
2019-09-02 07:17:00,spices,0_34
