timestamp,location,time,weekday,date,hour,minute,customer_id
2019-09-02 07:03:00,dairy,07:03:00,0.0,2019-09-02,7,3,0_1
2019-09-02 07:03:00,dairy,07:03:00,0.0,2019-09-02,7,3,0_2
2019-09-02 07:04:00,dairy,07:04:00,0.0,2019-09-02,7,4,0_3
2019-09-02 07:04:00,dairy,07:04:00,0.0,2019-09-02,7,4,0_4
2019-09-02 07:04:00,spices,07:04:00,0.0,2019-09-02,7,4,0_5
2019-09-02 07:04:00,spices,07:04:00,0.0,2019-09-02,7,4,0_6
2019-09-02 07:04:00,spices,07:04:00,0.0,2019-09-02,7,4,0_7
2019-09-02 07:04:00,fruit,07:04:00,0.0,2019-09-02,7,4,0_8
2019-09-02 07:05:00,checkout,07:05:00,0.0,2019-09-02,7,5,0_1
2019-09-02 07:05:00,checkout,07:05:00,0.0,2019-09-02,7,5,0_5
2019-09-02 07:05:00,dairy,07:05:00,0.0,2019-09-02,7,5,0_6
2019-09-02 07:05:00,drinks,07:05:00,0.0,2019-09-02,7,5,0_7
2019-09-02 07:06:00,fruit,07:06:00,0.0,2019-09-02,7,6,0_10
2019-09-02 07:06:00,drinks,07:06:00,0.0,2019-09-02,7,6,0_11
2019-09-02 07:06:00,spices,07:06:00,0.0,2019-09-02,7,6,0_12
2019-09-02 07:06:00,dairy,07:06:00,0.0,2019-09-02,7,6,0_13
2019-09-02 07:06:00,fruit,07:06:00,0.0,2019-09-02,7,6,0_14
2019-09-02 07:06:00,checkout,07:06:00,0.0,2019-09-02,7,6,0_2
2019-09-02 07:06:00,checkout,07:06:00,0.0,2019-09-02,7,6,0_3
2019-09-02 07:06:00,dairy,07:06:00,0.0,2019-09-02,7,6,0_9
2019-09-02 07:07:00,drinks,07:07:00,0.0,2019-09-02,7,7,0_12
2019-09-02 07:07:00,spices,07:07:00,0.0,2019-09-02,7,7,0_15
2019-09-02 07:07:00,dairy,07:07:00,0.0,2019-09-02,7,7,0_16
2019-09-02 07:07:00,checkout,07:07:00,0.0,2019-09-02,7,7,0_8
2019-09-02 07:08:00,checkout,07:08:00,0.0,2019-09-02,7,8,0_10
2019-09-02 07:08:00,checkout,07:08:00,0.0,2019-09-02,7,8,0_11
2019-09-02 07:08:00,fruit,07:08:00,0.0,2019-09-02,7,8,0_15
2019-09-02 07:08:00,checkout,07:08:00,0.0,2019-09-02,7,8,0_4
2019-09-02 07:09:00,checkout,07:09:00,0.0,2019-09-02,7,9,0_14
2019-09-02 07:09:00,spices,07:09:00,0.0,2019-09-02,7,9,0_16
2019-09-02 07:09:00,spices,07:09:00,0.0,2019-09-02,7,9,0_7
2019-09-02 07:10:00,checkout,07:10:00,0.0,2019-09-02,7,10,0_12
2019-09-02 07:11:00,checkout,07:11:00,0.0,2019-09-02,7,11,0_16
2019-09-02 07:11:00,fruit,07:11:00,0.0,2019-09-02,7,11,0_17
2019-09-02 07:11:00,fruit,07:11:00,0.0,2019-09-02,7,11,0_7
2019-09-02 07:12:00,checkout,07:12:00,0.0,2019-09-02,7,12,0_15
2019-09-02 07:12:00,fruit,07:12:00,0.0,2019-09-02,7,12,0_18
2019-09-02 07:12:00,spices,07:12:00,0.0,2019-09-02,7,12,0_19
2019-09-02 07:12:00,drinks,07:12:00,0.0,2019-09-02,7,12,0_20
2019-09-02 07:12:00,fruit,07:12:00,0.0,2019-09-02,7,12,0_9
2019-09-02 07:13:00,spices,07:13:00,0.0,2019-09-02,7,13,0_13
2019-09-02 07:13:00,drinks,07:13:00,0.0,2019-09-02,7,13,0_19
2019-09-02 07:13:00,drinks,07:13:00,0.0,2019-09-02,7,13,0_21
2019-09-02 07:13:00,fruit,07:13:00,0.0,2019-09-02,7,13,0_22
2019-09-02 07:13:00,checkout,07:13:00,0.0,2019-09-02,7,13,0_7
2019-09-02 07:13:00,checkout,07:13:00,0.0,2019-09-02,7,13,0_9
2019-09-02 07:14:00,dairy,07:14:00,0.0,2019-09-02,7,14,0_13
